,Date,Open,High,Low,Close,Volume,Diff,isLarger
29,2024-11-18,225.25,229.74,225.17,228.02,44686020.0,0.1138952164009055,0
30,2024-11-15,226.4,226.92,224.27,225.0,47923696.0,1.3244452241031581,0
31,2024-11-14,225.02,228.87,225.0,228.22,44923941.0,-1.4311111111111217,1
32,2024-11-13,224.01,226.65,222.76,225.12,48566217.0,1.3583384453597347,0
33,2024-11-12,224.55,225.59,223.355,224.23,40398299.0,0.3953447050462131,0
34,2024-11-11,225.0,225.7,221.5,224.23,42005602.0,0.0,1
35,2024-11-08,227.17,228.66,226.405,226.96,38328824.0,-1.2174998885073478,1
36,2024-11-07,224.625,227.875,224.57,227.48,42137691.0,-0.22911526260132575,0
37,2024-11-06,222.61,226.065,221.19,222.72,54561121.0,2.092491647617365,1
38,2024-11-05,221.795,223.95,221.14,223.45,28111338.0,-0.32776580459770344,0
39,2024-11-04,220.99,222.79,219.71,222.01,44944468.0,0.64443947191765,1
40,2024-11-01,220.965,225.35,220.27,222.91,65276741.0,-0.4053871447232211,1
41,2024-10-31,229.34,229.83,225.37,225.91,64370086.0,-1.3458346417836822,1
42,2024-10-30,232.61,233.47,229.55,230.1,47070907.0,-1.8547209065557126,1
43,2024-10-29,233.1,234.325,232.32,233.67,35417247.0,-1.551499348109516,0
44,2024-10-28,233.32,234.73,232.55,233.4,36087134.0,0.11554756708177649,0
45,2024-10-25,229.74,233.22,229.57,231.41,38802304.0,0.8526135389888623,0
46,2024-10-24,229.98,230.82,228.41,230.57,31109503.0,0.36299209195800586,1
47,2024-10-23,234.08,235.144,227.76,230.76,52286979.0,-0.08240447586416622,1
48,2024-10-22,233.885,236.22,232.6,235.86,38846578.0,-2.2100884035361616,1
49,2024-10-21,234.45,236.85,234.45,236.48,36254470.0,-0.26286780293393974,0
50,2024-10-18,236.18,236.18,234.01,235.0,46431472.0,0.6258457374830755,0
51,2024-10-17,233.43,233.85,230.52,232.15,32993810.0,1.2127659574468055,0
52,2024-10-16,231.6,232.12,229.84,231.78,34082240.0,0.15937971139349827,1
53,2024-10-15,233.61,237.49,232.37,233.85,64751367.0,-0.8930882733626788,0
54,2024-10-14,228.7,231.73,228.6,231.3,39882085.0,1.090442591404738,0
55,2024-10-11,229.3,229.41,227.34,227.55,31759188.0,1.6212710765239962,1
56,2024-10-10,227.78,229.5,227.17,229.04,28183544.0,-0.6548011426060043,1
57,2024-10-09,225.23,229.75,224.83,229.54,33591091.0,-0.21830247991616147,0
58,2024-10-08,224.3,225.98,223.25,225.77,31855693.0,1.6424152653132182,0
59,2024-10-07,224.5,225.69,221.33,221.69,39505354.0,1.8071488683173271,1
60,2024-10-04,227.9,228.0,224.13,226.8,37345098.0,-2.3050205241553527,0
61,2024-10-03,225.14,226.805,223.32,225.67,34044158.0,0.49823633156968583,1
62,2024-10-02,225.89,227.37,223.02,226.78,32880605.0,-0.4918686577746456,0
63,2024-10-01,229.52,229.65,223.74,226.21,63285048.0,0.25134491577740903,1
64,2024-09-30,230.04,233.0,229.65,233.0,54793391.0,-3.001635648291412,0
65,2024-09-27,228.46,229.52,227.3,227.79,34025967.0,2.2360515021459264,0
66,2024-09-26,227.3,228.5,225.41,227.52,36636707.0,0.11853022520742229,0
67,2024-09-25,224.93,227.29,224.02,226.37,42308715.0,0.5054500703234908,1
68,2024-09-24,228.645,229.35,225.73,227.37,43556068.0,-0.44175464946769694,0
69,2024-09-23,227.34,229.45,225.81,226.47,54146023.0,0.395830584509838,1
70,2024-09-20,229.97,233.09,227.62,228.2,318679888.0,-0.7638980880469717,1
71,2024-09-19,224.99,229.82,224.63,228.87,66781315.0,-0.2936021034180669,0
72,2024-09-18,217.55,222.71,217.54,220.69,59894928.0,3.574081356228433,0
73,2024-09-17,215.75,216.9,214.5,216.79,45519339.0,1.7671847387738495,0
74,2024-09-16,216.54,217.22,213.92,216.32,59357427.0,0.21679966788136085,1
75,2024-09-13,223.58,224.04,221.91,222.5,36766619.0,-2.856878698224861,1
