Date,Open,High,Low,Close,Volume
2023-12-29,104.72,104.97,103.67,104.0,4409641.0
2023-12-28,105.0,105.52,104.7,104.7,5335145.0
2023-12-27,105.05,105.37,104.075,104.65,5889724.0
2023-12-26,103.61,104.9575,103.57,104.45,6407484.0
2023-12-22,102.93,103.59,102.705,103.15,5566576.0
2023-12-21,101.3,102.715,101.16,102.55,9068244.0
2023-12-20,102.7,103.085,99.935,100.04,10814080.0
2023-12-19,103.24,103.975,103.09,103.87,8498473.0
2023-12-18,102.84,103.31,102.08,102.93,5660567.0
2023-12-15,103.5,104.755,102.39,102.54,16379236.0
2023-12-14,103.35,103.81,102.8,103.45,10074499.0
2023-12-13,101.4,102.68,100.905,102.12,8988814.0
2023-12-12,100.15,101.65,99.95,101.6,7378574.0
2023-12-11,99.57,101.21,99.37,100.95,9482773.0
2023-12-08,99.12,100.37,98.945,100.35,10572458.0
2023-12-07,97.96,99.64,97.89,99.29,11373668.0
2023-12-06,97.8,98.57,97.445,97.85,11262266.0
2023-12-05,96.46,97.015,95.88,96.69,8009587.0
2023-12-04,97.05,97.2,95.2501,97.01,10619352.0
2023-12-01,97.7,98.78,97.02,98.55,7500388.0
2023-11-30,98.925,98.98,96.9,97.31,9681363.0
2023-11-29,99.0,99.73,98.6,98.88,7091122.0
2023-11-28,97.87,98.25,97.235,97.98,6358143.0
2023-11-27,97.42,97.55,96.42,97.21,6856096.0
2023-11-24,98.48,98.725,97.47,97.83,4297621.0
2023-11-22,98.72,99.65,97.95,98.65,7416466.0
2023-11-21,100.0,100.15,98.235,98.41,10112622.0
2023-11-20,99.9,100.5887,99.54,99.96,6452894.0
2023-11-17,98.94,99.72,98.3215,99.58,7247710.0
2023-11-16,98.24,99.0997,97.91,98.54,8459045.0
2023-11-15,99.95,100.6999,98.42,98.8,10422887.0
2023-11-14,98.0,99.69,97.95,98.91,13873244.0
2023-11-13,97.01,97.18,95.72,96.42,9526286.0
2023-11-10,94.04,97.75,93.61,97.44,19292869.0
2023-11-09,92.63,93.37,91.6,91.62,8166021.0
2023-11-08,93.33,93.44,91.93,92.0,6537666.0
2023-11-07,92.25,93.05,91.75,92.41,6241257.0
2023-11-06,92.0,92.61,91.29,92.6,8402708.0
