Date,Close
05-26,8.685747146606445
05-27,8.493956565856934
05-28,8.455846786499023
05-29,8.842921257019043
06-01,8.77392578125
06-02,8.792856216430664
06-03,8.737309455871582
06-04,8.738306999206543
06-05,8.891312599182129
06-08,8.776680946350098
06-09,9.01690673828125
06-10,9.336626052856445
06-11,8.767960548400879
06-12,8.903770446777344
06-15,9.144246101379395
06-16,9.039334297180176
06-17,9.206296920776367
06-18,9.188355445861816
06-19,9.231464385986328
06-22,9.496110916137695
06-23,9.419608116149902
06-24,9.205798149108887
06-25,9.459480285644531
06-26,9.125557899475098
06-29,9.17041015625
06-30,9.467204093933105
07-01,9.499350547790527
07-02,9.581336975097656
07-06,9.807607650756836
07-07,9.840002059936523
07-08,10.183144569396973
07-09,10.475200653076172
07-10,10.44554615020752
07-13,10.01992130279541
07-14,10.343624114990234
07-15,10.194358825683594
07-16,10.102155685424805
07-17,10.16869068145752
07-20,10.476945877075195
07-21,10.295283317565918
07-22,10.405179023742676
07-23,10.097171783447266
07-24,10.161713600158691
07-27,10.387984275817871
07-28,10.182646751403809
07-29,10.431842803955078
07-30,10.579866409301758
07-31,10.580610275268555
08-03,10.974841117858887
08-04,11.19163990020752
08-05,11.250452995300293
08-06,11.299042701721191
08-07,11.163481712341309
08-10,11.129093170166016
08-11,10.815105438232422
08-12,11.403458595275879
08-13,11.406198501586914
08-14,11.526809692382812
08-17,12.297323226928711
08-18,12.221319198608398
08-19,12.09946060180664
08-20,12.10195255279541
08-21,12.642708778381348
08-24,12.679340362548828
08-25,12.708996772766113
08-26,12.731919288635254
08-27,12.587637901306152
08-28,13.105466842651367
08-31,13.3314847946167
09-01,13.78067398071289
09-02,14.304638862609863
09-03,12.977520942687988
09-04,12.585671424865723
09-08,11.878239631652832
09-09,12.677900314331055
09-10,12.27582836151123
09-11,12.129003524780273
09-14,12.83469009399414
09-15,12.953093528747559
09-16,12.477982521057129
09-17,12.427133560180664
09-18,12.15368366241455
09-21,12.48072624206543
09-22,12.600875854492188
09-23,12.088374137878418
09-24,12.311969757080078
09-25,12.836183547973633
09-28,12.996963500976562
09-29,13.187159538269043
09-30,13.491023063659668
10-01,13.574774742126465
10-02,13.024136543273926
10-05,13.602691650390625
10-06,13.696418762207031
10-07,13.92325496673584
10-08,13.798370361328125
10-09,13.7225923538208
10-12,14.184490203857422
10-13,14.20667552947998
10-14,14.054121017456055
10-15,13.929238319396973
10-16,13.771200180053711
10-19,13.458366394042969
10-20,13.605681419372559
10-21,13.485285758972168
10-22,13.322013854980469
10-23,13.550597190856934
10-26,13.102904319763184
10-27,13.357659339904785
10-28,12.590155601501465
10-29,12.98599624633789
10-30,12.497426986694336
11-02,12.544041633605957
11-03,12.981510162353516
11-04,13.753999710083008
11-05,14.118681907653809
11-06,14.519508361816406
11-09,13.59097671508789
11-10,12.732738494873047
11-11,13.378850936889648
11-12,13.417484283447266
11-13,13.258201599121094
11-16,13.47581672668457
11-17,13.383086204528809
11-18,13.389566421508789
11-19,13.401033401489258
11-20,13.049561500549316
11-23,13.101658821105957
11-24,12.919940948486328
11-25,13.196131706237793
11-27,13.222557067871094
11-30,13.362395286560059
12-01,13.350932121276855
12-02,13.504979133605957
12-03,13.360858917236328
12-04,13.522683143615723
12-07,13.57105541229248
12-08,13.31497859954834
12-09,12.896828651428223
12-10,12.93822193145752
12-11,12.979110717773438
12-14,13.27383804321289
12-15,13.325451850891113
12-16,13.207761764526367
12-17,13.30625057220459
12-18,13.2371826171875
12-21,13.29727840423584
12-22,13.243415832519531
12-23,12.97512149810791
12-24,12.959663391113281
12-28,12.86616039276123
12-29,12.909296035766602
12-30,13.111266136169434
12-31,13.020752906799316
